ship_city,ship_state,ship_postal_code,ship_country
BENGALURU,KARNATAKA,560011.0,IN
BENGALURU,KARNATAKA,560035.0,IN
SURAT,Gujarat,395007.0,IN
CHITTOOR,ANDHRA PRADESH,517001.0,IN
KADUR,KARNATAKA,577548.0,IN
SURATGARH,RAJASTHAN,335804.0,IN
MIRA ROAD,MAHARASHTRA,401107.0,IN
MUMBAI,MAHARASHTRA,400095.0,IN
DINANAGAR,PUNJAB,143531.0,IN
KOLKATA,WEST BENGAL,700028.0,IN
KALYAN,MAHARASHTRA,421004.0,IN
ARAKANDANALLUR,TAMIL NADU,605752.0,IN
BHOPAL,MADHYA PRADESH,462038.0,IN
GURGAON,HARYANA,122001.0,IN
HYDERABAD,TELANGANA,500036.0,IN
Bhatgaon,CHHATTISGARH,497235.0,IN
BHANJANAGAR,ODISHA,761126.0,IN
VISAKHAPATNAM,ANDHRA PRADESH,531173.0,IN
MADHURAWADA,ANDHRA PRADESH,530048.0,IN
ALMORA,UTTARAKHAND,263601.0,IN
PRODDATUR,ANDHRA PRADESH,516360.0,IN
SHRIGONDA,MAHARASHTRA,413701.0,IN
WARANGAL,TELANGANA,506330.0,IN
CHENNAI,TAMIL NADU,600089.0,IN
FAIZABAD,UTTAR PRADESH,224001.0,IN
BHIWADI,RAJASTHAN,301019.0,IN
BANGALORE,KARNATAKA,560078.0,IN
NEW DELHI,DELHI,110085.0,IN
ALLAHABAD,UTTAR PRADESH,211002.0,IN
WARANGAL,TELANGANA,506009.0,IN
Vadodara,Gujarat,390011.0,IN
NEW DELHI,DELHI,110030.0,IN
NASHIK,MAHARASHTRA,422101.0,IN
Malda,WEST BENGAL,732103.0,IN
KALYAN,MAHARASHTRA,421301.0,IN
VISAKHAPATNAM,ANDHRA PRADESH,530047.0,IN
KOLLAM,KERALA,690521.0,IN
BENGALURU,KARNATAKA,560021.0,IN
MUMBAI,MAHARASHTRA,400042.0,IN
GUNTUR,ANDHRA PRADESH,522614.0,IN
AHMEDABAD,Gujarat,380058.0,IN
MANGALURU,KARNATAKA,575002.0,IN
BENGALURU,KARNATAKA,560043.0,IN
Pune,MAHARASHTRA,411033.0,IN
ROORKEE,UTTARAKHAND,247667.0,IN
NAGPUR,MAHARASHTRA,440006.0,IN
Golabandha,ODISHA,761002.0,IN
